PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
P04194,Velachery,1928,19-10-2010,186,3,2,5,AbNormal,Yes,23-10-1994,Commercial,NoSeWa,No Access,C,3.8,3.8,4.7,4.07,484639,176232,14686020
P09762,Velachery,1648,5/9/2005,85,2,1,4,AbNormal,Yes,8/9/1992,Others,NoSewr ,No Access,A,4.9,3.4,3.2,3.72,321926,156836,8254510
P09492,T Nagar,1538,12/11/2006,133,1,1,4,AbNormal,No,16-11-1988,Commercial,NoSeWa,No Access,RM,2.5,2.2,2.3,2.335,614614,122923,17560410
P07579,Chrompet,715,28-09-2008,39,1,1,2,Normal Sale,Yes,5/10/1981,House,NoSewr ,No Access,RL,3,4.5,4.1,3.93,219008,109504,7300250
P04512,Karapakkam,1201,16-08-2010,104,1,1,3,Partial,No,25-08-1972,Others,AllPub,Gravel,RM,3.3,2.1,2,2.42,339946,149245,8291375
P08864,Adyar,668,21-07-2007,128,1,1,2,Normal Sale,No,25-07-1988,House,ELO,Gravel,A,2.1,4.7,4.4,3.77,197999,15231,5076885
P04575,Velachery,1545,6/8/2010,68,2,1,4,AbNormal,No,7/8/2004,Others,NoSeWa,Gravel,C,2.5,3.3,4.9,3.58,275973,155235,8624170
P02392,Adyar,1206,14-10-2011,93,2,2,4,AbNormal,No,16-10-2000,Others,ELO,Paved,C,3.3,3.8,4.2,3.85,327575,92393,8399365
P04316,Velachery,1694,23-09-2010,32,2,1,4,Partial,No,6/10/1957,Commercial,AllPub,Gravel,RM,3.7,4.7,2.9,3.91,520386,252759,14868160
P00887,Anna Nagar,1656,24-05-2013,87,1,1,4,Normal Sale,No,28-05-1998,House,NoSewr ,Gravel,RM,2.6,4,3.6,3.35,374593,77502,12917000
P00970,Chrompet,964,28-03-2013,52,1,1,3,Family,Yes,7/4/1973,Others,NoSeWa,Paved,RL,4.9,3.8,4,4.19,271568,135784,9052280
P06543,Adyar,951,27-07-2009,118,1,1,3,Normal Sale,Yes,31-07-1994,Others,NoSeWa,No Access,RL,5,3,3.3,3.75,355863,18730,9364825
P02724,Karapakkam,835,10/8/2011,79,1,1,2,Normal Sale,Yes,19-08-1973,Others,NoSeWa,Paved,RH,3.4,2.7,3.1,3.07,206532,116174,6454125
P03050,Anna Nagar,1548,6/6/2011,123,1,1,4,Family,Yes,14-06-1976,Others,NoSeWa,Paved,RH,3.4,5,4.6,4.28,351171,205859,12109340
P06376,Chrompet,827,3/9/2009,176,1,1,3,AdjLand,Yes,7/9/1992,House,ELO,Paved,RL,3.4,2.6,5,3.56,278450,147926,8701550
P07054,KK Nagar,1834,9/3/2009,70,3,2,5,AdjLand,Yes,16-03-1983,House,NoSeWa,Paved,RL,2.9,3.5,3.9,3.48,479280,217854,10892720
P09119,Velachery,1840,2/4/2007,8,3,2,5,Normal Sale,No,4/4/1999,Others,NoSeWa,No Access,C,4.8,3,2.6,3.33,334092,154196,8566460
P08972,Velachery,1973,29-05-2007,63,3,2,5,Normal Sale,Yes,6/6/1974,Commercial,NoSewr ,Gravel,RM,3.3,3.1,4.6,3.6,636288,127258,18179660
P04579,Anna Nagar,1829,6/8/2010,57,2,1,5,Family,No,16-08-1968,House,NoSeWa,No Access,RL,4.9,3.3,3.2,3.82,371773,180253,11265840
P05890,T Nagar,1851,4/12/2009,69,2,1,5,Partial,Yes,6/12/2001,Commercial,ELO,Gravel,RL,2.6,3.1,4.3,3.49,779777,303246,21660460
P02901,Karapakkam,1519,2/7/2011,24,2,2,4,Partial,Yes,8/7/1987,Commercial,NoSewr ,No Access,RL,4.7,5,3.2,4.19,544320,145152,12096000
P08795,Velachery,1822,14-08-2007,140,3,2,5,Partial,No,20-08-1982,Commercial,AllPub,No Access,RH,2.9,4.2,2,3.22,472639,111209,13901150
P03903,Karapakkam,721,17-12-2010,47,1,1,2,Normal Sale,Yes,24-12-1980,Others,NoSeWa,Paved,I,3.9,2.8,3.6,3.45,279808,142759,5710375
P03524,Chrompet,1022,10/3/2011,37,1,1,3,AbNormal,No,19-03-1975,House,NoSeWa,Gravel,RL,3.3,2.2,2.8,2.71,214048,90559,8232600
P03008,Karapakkam,588,15-06-2011,58,1,1,2,Normal Sale,Yes,19-06-1994,House,AllPub,Gravel,I,4.9,2.3,4.6,4,204262,74277,6189750
P06661,Anna Nagar,1716,1/7/2009,13,1,1,4,PartiaLl,No,4/7/1997,Others,NoSewr ,No Access,RL,3.6,2.6,2.6,2.95,438769,60940,12188020
P00515,Chrompet,955,9/2/2014,39,1,1,3,AbNormal,Yes,15-02-1991,House,NoSeWa,Paved,RH,2,2.3,2.6,2.3,265955,112830,8059250
P03174,Karapakkam,817,12/5/2011,28,1,1,2,AdjLand,Yes,15-05-1999,Commercial,NoSeWa,No Access,RH,4.9,3.2,4.1,4.07,378405,75681,8409000
P09220,Adyar,1036,20-02-2007,115,1,1,3,AbNormal,Yes,25-02-1986,Others,NoSeWa,Pavd,RL,2.1,2.7,4.7,3.52,306996,71633,10233215
P07560,Velachery,1682,3/10/2008,62,2,1,4,AbNormal,Yes,15-10-1960,House,NoSewr ,Gravel,I,4,4.3,3.6,4.02,278508,157821,9283610
P09350,Adyar,628,8/1/2007,121,1,1,2,AbNormal,Yes,12/1/1991,Others,ELO,No Access,RL,2.8,2.5,3.7,3.19,281331,45621,7603540
P07658,Chrompet,941,10/9/2008,55,1,1,3,AbNormal,Yes,18-09-1979,Commercial,NoSewr ,No Access,RM,3.7,3.1,2.6,3.13,307584,36910,12303350
P03295,Karapakkam,647,18-04-2011,10,1,1,2,AdjLand,Yes,27-04-1974,House,AllPub,Gravel,A,3.1,2.2,3.6,3.03,198850,104396,4971250
P09201,Chrompet,838,27-02-2007,136,1,1,3,Family,Yes,6/3/1976,House,ELO,Paved,RM,3.3,4.9,2.3,3.64,278056,121650,8689250
P05858,Karapakkam,849,9/12/2009,40,1,1,2,AdjLand,Yes,17-12-1978,House,ELO,Gravel,I,3.2,2.1,2.9,2.75,213106,58120,6457750
P07805,Adyar,1048,28-07-2008,165,1,1,3,Family,Yes,1/8/1993,House,ELO,No Access,RM,3,4.8,3,3.36,295471,123907,9531325
P02166,KK Nagar,2383,26-11-2011,181,4,2,6,AdjLand,Yes,27-11-2006,Commercial,NoSewr ,Paved,RL,2.6,2.2,2.9,2.6,942859,294644,19642900
P00853,Chrompet,820,13-06-2013,116,1,1,3,Family,No,15-06-2006,House,NoSeWa,Gravel,RH,3.3,5,4.3,4.28,193748,29807,7451850
P02989,Karapakkam,752,17-06-2011,132,1,1,2,Family,Yes,29-06-1963,House,NoSeWa,Gravel,I,4.9,3.1,4.8,4.32,200690,131882,5734000
P01476,T Nagar,1923,13-04-2012,39,2,1,5,AdjLand,No,16-04-2003,House,AllPub,No Access,RL,2.9,3.4,3.9,3.475,407124,210128,13133030
P09673,Velachery,2000,21-03-2006,130,3,2,5,AdjLand,No,1/4/1960,Commercial,NoSeWa,Paved,I,4.4,4.7,2.4,3.94,513698,211523,15108770
P01572,Karapakkam,1412,15-03-2012,107,2,2,4,Ab Normal,No,18-03-2003,Commercial,NoSeWa,No Access,I,2.1,4.5,4.2,3.66,338511,203107,9671750
P00078,Chrompet,979,25-12-2014,21,1,1,3,AdjLand,Yes,3/1/1979,Others,AllPub,Gravel,RL,2.1,2.5,2.7,2.44,254336,61041,10173430
P01007,Chrompet,1000,4/3/2013,80,1,1,3,AdjLand,No,7/3/2000,Others,AllPub,Gravel,RL,4.2,4.2,4.5,4.29,315838,29610,9869950
P08207,Adyar,961,22-03-2008,141,1,1,3,AdjLand,No,1/4/1969,House,ELO,Paved,RL,2.6,4.9,4.1,3.81,324737,8327,8326585
P03267,Karapakkam,1297,23-04-2011,175,1,1,3,AdjLand,No,3/5/1968,Commercial,NoSewr ,Gravel,I,3,2.8,2.9,2.9,435435,118755,9896250
P04823,Karapakkam,714,24-06-2010,71,1,1,2,Family,Yes,28-06-1993,Others,ELO,No Access,RH,2.2,4.4,2.7,3.06,286825,80311,5736500
P09321,Velachery,1505,17-01-2007,96,2,1,4,Partial,Yes,19-01-1997,Commercial,ELO,No Access,I,3.1,4.6,3.2,3.81,445275,98950,12368750
P09961,Velachery,1955,6/7/2004,101,3,2,5,Family,No,17-07-1961,Others,NoSeWa,No Access,I,4.6,4.1,5,4.5,274724,132931,8862060
P09908,Velachery,1578,1/11/2004,193,2,1,4,AdjLand,Yes,11/11/1965,Commercial,ELO,Paved,RH,4.1,3,3.2,3.34,561985,182645,14049630
P02515,Chrompet,812,19-09-2011,145,1,1,3,AdjLand,No,20-09-2005,House,NoSewr ,Paved,RM,2.4,4.6,2.1,3.19,232208,94603,8600300
P08061,Anna Nagar,1898,6/5/2008,58,2,1,5,AbNormal,Yes,8/5/2002,Others,ELO,Gravel,RM,3.2,4.2,4,3.77,649726,81216,16243160
P03213,Velachery,1868,4/5/2011,103,3,2,5,Normal Sale,No,13-05-1973,Others,NoSeWa,No Access,C,3.6,4.4,2,3.48,243305,137873,8110160
P08201,Chrompet,701,24-03-2008,102,1,1,2,Family,No,3/4/1969,Commercial,ELO,No Access,RL,4.9,3.7,2.9,3.82,209736,41947,8389450
P09374,Chrompet,1068,31-12-2006,141,1,1,3,Normal Sale,No,1/1/2003,House,ELO,Gravel,RL,3.1,4,4.7,3.94,254391,145366,9085400
P09596,Velachery,1521,15-08-2006,168,2,1,4,AdjLand,No,26-08-1960,House,NoSeWa,No Access,RM,2.6,3.7,3.2,3.28,325438,68513,8564170
P00128,Anna Nagar,1572,23-11-2014,113,1,1,4,Normal Sale,Yes,1/12/1980,House,NoSeWa,No Access,RL,3.8,3.4,5,4.18,309093,206062,11447880
P05358,T Nagar,1910,11/3/2010,73,2,1,5,AbNormal,Yes,21-03-1969,Others,AllPub,Gravel,RL,3.3,5,3,3.59,615881,138573,15397020
P00826,Chrompet,901,29-06-2013,174,1,1,3,Normal Sale,No,6/7/1984,House,NoSewr ,Gravel,RM,2.8,2.7,4,3.12,217614,121864,8704550
P09111,Velachery,1586,3/4/2007,55,2,1,4,AdjLand,No,6/4/1993,House,NoSewr ,No Access,C,2.6,4.7,2.1,3.4,266316,79175,7197730
P06107,Velachery,1782,22-10-2009,193,2,1,4,Partial,Yes,27-10-1989,House,NoSeWa,Gravel,RL,5,3.7,2.9,3.79,347256,75962,10851750
P05100,Karapakkam,684,1/5/2010,54,1,1,2,AdjLand,No,11/5/1970,Others,NoSewr ,Gravel,RM,2.2,4.7,2.4,3.03,235802,142910,7145500
P07938,Chrompet,1165,17-06-2008,184,1,1,3,Normal Sale,No,23-06-1985,Commercial,NoSewr ,No Access,RL,2.6,2.6,3.1,2.75,312306,137415,12492250
P08319,Adyar,698,15-02-2008,82,1,1,2,Family,No,23-02-1974,Others,NoSeWa,No Access,C,4.1,3.9,4.6,4.31,171749,52479,4770810
P08609,T Nagar,1904,24-10-2007,57,2,1,5,AdjLand,Yes,3/11/1965,House,NoSeWa,Gravel,RM,3.6,2.7,4.8,3.915,553383,239301,14956290
P02765,KK Nagar,2386,3/8/2011,165,4,2,6,Normal Sale,Yes,5/8/2003,Commercial,AllPub,Paved,RL,4.9,2.4,3.1,3.43,740155,350600,19477760
P07308,Anna Nagar,1640,25-12-2008,182,1,1,4,AdjLand,No,29-12-1992,Commercial,NoSeWa,Paved,RM,5,4.9,3.2,4.255,586091,253973,19536370
P05024,Karapakkam,1282,15-05-2010,17,1,1,3,AdjLand,Yes,27-05-1961,House,NoSewr ,Paved,A,4.1,3.6,2.9,3.47,267433,75579,5813750
P03786,Adyar,787,11/1/2011,31,1,1,2,AdjLand,No,21-01-1972,Others,NoSewr ,Gravel,I,4.6,2.9,4.5,4.21,276937,67363,7484785
P03504,KK Nagar,1508,15-03-2011,44,2,1,4,Partial,Yes,22-03-1982,Others,AllPub,Gravel,RM,4.3,2.4,4.2,3.69,413081,167465,11164340
P09189,Anna Nagar,1864,5/3/2007,184,2,,5,Family,Yes,7/3/1997,Others,NoSewr ,Paved,RM,3.3,3.7,4.7,3.96,575606,124455,15556920
P02148,T Nagar,1803,30-11-2011,56,2,1,5,Partial,Yes,5/12/1989,Commercial,NoSeWa,No Access,RM,3.4,5,3.7,3.935,556915,185638,20626490
P08598,Chrompet,1200,27-10-2007,69,1,1,3,Partial,Yes,30-10-1993,Others,NoSeWa,No Access,RM,4.3,2.1,2.6,2.91,257288,133790,10291500
P09515,T Nagar,1743,30-10-2006,197,1,1,4,AbNormal,No,10/11/1963,Commercial,ELO,Gravel,RM,2.3,4.2,3.5,3.315,598641,279366,19954710
P07144,Chrompet,771,8/2/2009,3,1,1,2,Normal Sale,Yes,10/2/2001,House,ELO,Paved,RH,3.6,2.5,2,2.68,196113,37714,7542800
P05659,KK Nagar,1325,17-01-2010,143,1,1,3,AbNormal,No,23-01-1987,House,NoSewr ,Paved,RM,3.8,4.8,2.4,3.54,347098,147517,8677460
P07299,Velachery,1569,26-12-2008,40,2,1,4,Partial,Yes,28-12-2002,Others,NoSeWa,Gravel,A,4.1,4.8,3.6,4.27,285994,151934,8937320
P00998,Chrompet,1019,10/3/2013,37,1,1,3,Normal Sale,Yes,14-03-1999,House,NoSewr ,Gravel,RL,4.1,2.8,4.2,3.61,266239,49304,9860700
P03083,Karapakkam,1524,29-05-2011,134,2,2,4,AdjLand,No,8/6/1969,House,ELO,No Access,C,2.4,2.7,3.5,2.93,173200,97425,5412500
P04922,Chrompet,1202,3/6/2010,55,2,1,4,Family,No,11/6/1978,Commercial,NoSeWa,No Access,RL,3.9,3.5,3,3.47,313720,125488,12548800
P04629,Chrompet,802,28-07-2010,67,1,1,3,AdjLand,No,7/8/1971,Commercial,NoSewr ,Paved,RH,4,2,4.3,3.29,303417,68514,9787650
P03615,Anna Nagar,1968,16-02-2011,136,2,1,5,Family,Yes,18-02-2002,Commercial,AllPub,Paved,RL,3.6,4.1,3.7,3.765,903181,429011,22579530
P09788,Velachery,1693,21-07-2005,134,2,1,4,Normal Sale,Yes,2/8/1957,Others,ELO,Paved,A,4.5,2.2,2.9,2.99,310390,65345,8168160
P09362,Chrompet,932,5/1/2007,58,1,1,3,Family,Yes,12/1/1977,House,ELO,Gravel,RL,3.5,2.1,5,3.39,267741,142795,8924700
P02469,Karapakkam,1071,29-09-2011,94,1,1,3,Normal Sale,No,2/10/1998,House,AllPub,Paved,RH,2.5,2.5,2.7,2.58,233217,97174,6478250
P09600,Velachery,1866,6/8/2006,36,3,2,5,Partial,Yes,10/8/1988,House,NoSeWa,No Access,RL,3.1,3.6,5,3.9,384325,131480,10113810
P06327,Velachery,1844,12/9/2009,118,3,2,5,AdjLand,No,16-09-1995,House,AllPub,Paved,I,4.7,4.8,4.7,4.75,306343,105306,9573230
P05009,Chrompet,1016,18-05-2010,87,1,1,3,AbNormal,No,19-05-2004,Others,ELO,Paved,RL,4.6,4.5,2.4,3.9,240203,151239,8896420
P05566,Karapakkam,803,2/2/2010,141,1,1,2,Normal Sale,No,14-02-1964,Commercial,AllPub,No Access,RM,3.1,4.6,2.7,3.39,280602,77945,7794500
P08748,Chrompet,862,3/9/2007,83,1,1,3,AdjLand,No,4/9/2002,House,ELO,No Access,RM,3.4,2.6,2.4,2.78,231726,111868,7990550
P08904,Velachery,1500,26-06-2007,138,2,1,4,AdjLand,Yes,9/7/1952,House,NoSewr ,No Access,I,4.8,2.2,2.5,2.94,292087,122984,7686500
P07994,KK Nagar,2491,28-05-2008,137,4,2,6,Partial,Yes,5/6/1979,Commercial,AllPub,Paved,RM,4.4,2.5,5,4.07,860696,420340,20016180
P09316,Velachery,1704,18-01-2007,154,2,1,4,Normal Sale,No,21-01-1993,Others,NoSeWa,Paved,RH,4.4,4.6,4.7,4.58,353192,196218,9810880
P08335,Velachery,1803,9/2/2008,108,3,2,5,Family,No,12/2/1994,Commercial,NoSewr ,Gravel,I,4.9,3.3,4.5,4.06,588235,161765,14705880
P08279,T Nagar,1541,1/3/2008,184,1,1,4,AbNormal,No,5/3/1995,Others,AllPub,No Access,RM,4.5,2.5,2.8,3.235,463319,125221,12522140
P01225,Chrompet,1178,13-10-2012,82,1,1,3,Family,Yes,20-10-1984,Commercial,ELO,No Access,RH,4.9,4.3,2.7,4,419707,114466,12718400
P04657,Karapakkam,1473,24-07-2010,185,2,2,4,AbNormal,Yes,26-07-2000,Commercial,ELO,Gravel,I,3.8,3.3,4.7,4.01,592092,265837,12083500
P03360,Karapakkam,594,8/4/2011,121,1,1,2,Partial,Yes,20-04-1963,House,AllPub,Gravel,RL,2.1,4,3.4,3.19,241166,130360,6518000
P01437,T Nagar,1701,6/5/2012,110,1,1,4,Partial,Yes,11/5/1993,Commercial,AllPub,Gravel,RL,4.6,3.4,4.3,4.165,593367,368297,20460930
P03866,Karapakkam,1169,26-12-2010,136,1,1,3,AbNormal,No,5/1/1971,Commercial,NoSeWa,Paved,A,4.8,2.6,3.9,3.78,316932,115248,7203000
P00064,Anna Nagar,1684,3/1/2015,82,1,1,4,Normal Sale,Yes,9/1/1990,Commercial,AllPub,Paved,RL,2.5,4.5,2.4,2.96,735253,317947,19871700
P02833,T Nagar,1569,17-07-2011,191,1,1,4,Partial,No,21-07-1994,Commercial,AllPub,Gravel,RL,4.8,3,2.9,3.495,586124,274746,18316390
P07854,Chrompet,1232,11/7/2008,82,2,1,4,Normal Sale,Yes,17-07-1986,House,NoSeWa,Gravel,RH,2.5,2.1,4.2,2.85,294453,98151,9815100
P09292,Chrompet,958,29-01-2007,119,1,1,3,Partial,No,2/2/1989,Commercial,ELO,No Access,RH,2,3.2,4.6,3.26,270035,150020,10001300
P05307,KK Nagar,1583,22-03-2010,9,2,1,4,AbNormal,No,29-03-1980,House,AllPub,Paved,RM,4.7,4.8,4,4.45,412284,105468,9588000
P06866,Adyar,907,3/5/2009,6,1,1,3,Partial,Yes,12/5/1975,House,NoSewr ,Gravel,A,4,3.1,2.7,3.17,206045,26586,6646610
P07780,KK Nagar,1702,6/8/2008,18,2,1,4,AbNormal,Yes,10/8/1992,Commercial,NoSewr ,Gravel,RL,2.3,3.9,3.2,3.14,701843,389913,15596520
P05511,Karapakkam,739,11/2/2010,41,1,1,2,Normal Sale,No,22-02-1968,Commercial,AllPub,Paved,RH,3.6,2.7,4,3.49,333960,153065,6957500
P09745,Velachery,1760,1/10/2005,130,2,1,4,Partial,Yes,13-10-1957,House,AllPub,No Access,A,3.1,4.7,3.5,3.94,211721,119975,7057360
P07794,Velachery,1956,31-07-2008,98,3,2,5,Family,Yes,9/8/1973,Others,ELO,No Access,A,3.4,3.1,3.5,3.3,294996,173527,8676350
P00297,Chrompet,714,17-07-2014,105,1,1,2,Normal Sale,Yes,18-07-2008,Others,NoSeWa,Gravel,RM,3.7,4.7,3.4,4.01,242292,145375,9691680
P02623,T Nagar,1848,1/9/2011,11,2,1,5,Family,Yes,5/9/1992,House,NoSeWa,Gravel,RL,3,4.8,3.4,3.63,529009,83528,13921280
P08017,Chrompet,1005,20-05-2008,196,1,1,3,Normal Sale,Yes,26-05-1987,Commercial,NoSeWa,Paved,RM,3.9,3,2.6,3.15,403493,161397,13449750
P01418,Anna Nagar,1638,20-05-2012,6,1,1,4,AbNormal,No,26-05-1991,House,NoSeWa,Paved,RM,3.2,4.7,4.6,4.135,462151,194590,12161870
P00154,Chrompet,1294,6/11/2014,80,2,1,4,AbNormal,Yes,8/11/2005,Others,ELO,Paved,RL,4.3,3.1,4.6,3.91,345883,100418,11157530
P05176,T Nagar,1653,15-04-2010,98,1,1,4,AbNormal,Yes,19-04-1994,House,AllPub,Gravel,RL,4,4.3,4.3,4.21,528334,189658,13547020
P08367,Anna Nagar,1950,27-01-2008,48,2,1,5,Normal Sale,No,5/2/1970,Others,NoSewr ,No Access,RM,4.7,2.7,4.4,4.08,449090,112272,14034060
P09973,Velachery,1841,12/6/2004,8,3,2,5,Normal Sale,Yes,20-06-1972,Commercial,NoSewr ,Paved,RL,2.1,4.3,3.3,3.45,571030,130521,16315140
P04121,Karapakkam,1252,2/11/2010,58,1,1,3,AdjLand,No,11/11/1975,Commercial,NoSewr ,Gravel,RL,2.2,4.2,5,3.92,344697,233504,11119250
P02553,T Nagar,1817,12/9/2011,12,2,1,5,Normal Sale,Yes,18-09-1984,Commercial,ELO,No Access,RH,4.4,4.6,4,4.27,593251,217525,19775040
P03161,KK Nagar,1337,15-05-2011,85,2,1,4,AbNormal,Yes,19-05-1992,House,NoSewr ,Paved,RH,2.8,4.6,5,4.22,350199,78795,8754980
P08540,Velachery,1561,13-11-2007,144,2,1,4,AdjLand,Yes,22-11-1970,Others,ELO,Paved,A,4.5,5,4.4,4.7,295037,143304,8429640
P04442,Anna Nagar,1517,30-08-2010,64,1,1,4,Normal Sale,No,4/9/1990,Commercial,AllPub,Gravel,RL,3.3,4,2.3,3.075,723058,180765,18076450
P07235,T Nagar,1917,12/1/2009,4,2,1,5,AbNormal,No,20-01-1977,Others,AllPub,No Access,RH,2.5,3.4,2.4,2.68,447179,153319,12776550
P05192,Karapakkam,766,12/4/2010,183,1,1,2,Normal Sale,No,21-04-1973,House,NoSewr ,Gravel,RH,4,4.3,3.6,3.93,195254,126341,5742750
P02885,Karapakkam,745,5/7/2011,81,1,1,2,Normal Sale,No,11/7/1985,Commercial,ELO,Paved,RH,4.9,2.5,3.4,3.58,272552,97839,6988500
P06413,Velachery,1562,24-08-2009,11,2,1,4,AbNormal,Yes,6/9/1958,House,NoSeWa,Paved,RM,3.9,4.1,3,3.72,347943,178942,9941220
P06662,KK Nagar,2371,1/7/2009,54,4,2,6,Normal Sale,Yes,8/7/1981,Others,AllPub,Paved,RH,2.8,3.5,3,3.09,611145,241911,12732180
P00425,Chrompet,991,25-04-2014,114,1,1,3,AbNormal,No,1/5/1989,Others,AllPub,Paved,RL,3.6,3.7,2.9,3.43,243276,104261,8688420
P04393,Karapakkam,1582,9/9/2010,143,2,2,4,AbNormal,No,13-09-1994,Others,ELO,No Access,RL,3.1,4.4,4,3.85,262120,180208,8191250
P03658,Karapakkam,1348,6/2/2011,65,2,2,4,AdjLand,Yes,8/2/2003,Commercial,AllPub,Gravel,I,3.6,3.9,3.5,3.65,531740,120850,12085000
P06164,KK Nagar,1933,11/10/2009,165,3,2,5,AdjLand,Yes,16-10-1991,Others,NoSewr ,Paved,RH,4.5,4.7,4.1,4.4,540069,293516,11740620
P09909,Velachery,1737,29-10-2004,175,2,1,4,Partial,No,7/11/1968,House,NoSeWa,Gravel,RL,3.6,3.1,2.8,3.14,326955,186831,9341570
P07116,KK Nagar,2335,18-02-2009,142,4,2,6,AbNormal,Yes,22-02-1993,Commercial,NoSewr ,Gravel,RH,3.3,3.9,2.5,3.16,750333,356408,18758320
P03709,Anna Nagar,1946,27-01-2011,90,2,1,5,Partial,Yes,5/2/1975,Others,ELO,No Access,RM,3.7,4.8,4.8,4.415,378470,247461,14556550
P08881,Anna Nagar,1554,10/7/2007,190,1,1,4,AdjLand,No,11/7/2002,House,NoSeWa,Gravel,RM,2.6,3.1,4.1,3.325,399703,103149,12893650
P09169,Chrompet,1039,12/3/2007,39,1,1,3,Family,No,17-03-1986,Others,ELO,No Access,RH,4.5,2.8,2.4,3.19,198525,51469,7352780
P07656,KK Nagar,1703,11/9/2008,104,2,1,4,AdjLand,Yes,14-09-1998,Commercial,AllPub,Paved,RM,2.5,2.5,3.9,3.06,505021,342111,16291000
P01592,Chrompet,883,13-03-2012,196,1,1,3,AdjLand,No,18-03-1995,House,NoSeWa,Paved,RL,3.7,3.1,4.1,3.58,263187,31901,7975350
P09180,Chrompet,1226,7/3/2007,91,2,1,4,AbNormal,Yes,17-03-1967,House,NoSewr ,No Access,RM,4.7,4.5,4.9,4.68,325538,138107,9864800
P07741,Anna Nagar,1867,15-08-2008,14,2,1,5,Partial,No,26-08-1967,House,NoSeWa,Gravel,RH,3.4,3.6,3.5,3.49,363107,93705,11713120
P04782,T Nagar,1950,1/7/2010,130,2,1,5,Partial,No,12/7/1966,Others,ELO,Paved,RH,3.9,4,3.6,3.79,331637,89287,12755280
P04911,Chrompet,1062,5/6/2010,105,1,1,3,AdjLand,Yes,7/6/2002,Others,AllPub,No Access,RL,3.3,2.3,3.1,2.84,269653,129833,9987140
P00332,Chrompet,870,28-06-2014,131,1,1,3,Partial,Yes,3/7/1993,Others,ELO,Gravel,RL,4.2,3,3.2,3.42,266761,101185,9198650
P07572,Chrompet,1032,29-09-2008,33,1,1,3,Family,Yes,30-09-2004,Others,ELO,Paved,RM,2.8,4.4,3.7,3.71,315433,73601,10514440
P04557,Adyar,1015,9/8/2010,69,1,1,3,AbNormal,Yes,11/8/2000,Commercial,AllPub,Gravel,A,4.1,4.3,3.8,3.99,398972,84630,12090050
P02230,KK Nagar,2289,11/11/2011,195,4,2,6,Normal Sale,No,13-11-2002,Others,NoSewr ,Paved,RM,2.7,4.2,3.7,3.55,609344,233366,12964760
P03463,Adyar,785,22-03-2011,109,1,1,2,Partial,Yes,28-03-1987,Commercial,NoSeWa,No Access,C,4.8,3.6,5,4.66,275570,115562,8889360
P02133,Adyar,878,3/12/2011,181,1,1,3,Family,No,11/12/1979,House,ELO,Paved,RM,4.8,4.7,2.5,3.63,320462,82170,8216980
P00069,T Nagar,1884,1/1/2015,99,2,1,5,AbNormal,Yes,6/1/1996,Others,NoSeWa,Gravel,RH,3.3,4.1,4,3.815,593790,178137,14844750
P04440,Adyar,852,30-08-2010,55,1,1,3,Partial,Yes,3/9/1992,Commercial,ELO,Gravel,C,2.4,4.2,4.7,3.91,415123,106442,10644170
P01820,Karapakkam,1155,1/2/2012,97,1,1,3,Partial,Yes,4/2/1999,Others,AllPub,Paved,I,2.7,2.3,2.6,2.54,240153,58219,7277375
P00499,Anna Nagar,1650,20-02-2014,159,1,1,4,AbNormal,No,25-02-1995,Others,ELO,Paved,RH,2.6,2.9,4,3.235,392031,95038,11879730
P09708,Velachery,1831,13-01-2006,64,3,2,5,Partial,Yes,20-01-1979,House,ELO,Gravel,RL,4.4,2.4,3.3,3.17,423120,119342,10849240
P06417,T Nagar,1509,24-08-2009,111,1,1,4,AdjLand,No,30-08-1986,House,AllPub,NoAccess,RH,3.6,4.6,5,4.48,273106,63024,10504060
P03060,Karapakkam,1389,2/6/2011,17,2,2,4,AdjLand,Yes,9/6/1981,Commercial,ELO,No Access,RH,3.6,3.2,2.8,3.16,505517,274738,10989500
P03324,Chrompet,1149,13-04-2011,36,1,1,3,Partial,No,20-04-1981,House,ELO,Gravel,RM,4.4,2.9,2.1,3.11,257116,101010,9182700
P04054,KK Nagar,1402,17-11-2010,70,2,1,4,AdjLand,Yes,23-11-1984,House,AllPub,Gravel,RM,2.9,3.7,4.8,3.9,394564,263043,10960120
P00785,Anna Nagar,1781,25-07-2013,0,1,1,4,AdjLand,No,31-07-1988,House,NoSeWa,Gravel,RL,4.9,3.5,4.7,4.47,492799,181558,12968400
P05374,KK Nagar,1632,7/3/2010,152,2,1,4,Partial,No,8/3/2004,Others,NoSewr ,Paved,RH,3.1,4.2,4.7,4.07,303869,128914,9208160
P07306,T Nagar,1604,25-12-2008,68,1,1,4,Partial,No,28-12-1996,Commercial,NoSewr ,Paved,RL,4.6,4.8,2.3,3.615,597184,126675,18096490
P00358,Chrompet,1220,9/6/2014,114,2,1,4,Partial,Yes,14-06-1995,House,NoSewr ,No Access,RL,3.4,2.6,2.7,2.87,229781,55148,9191250
